Product,Description,Alternates,Onhand,Condition
4140-G111-J1M1-B5SOTN-50A,CIRCUIT BREAKER,,5,5
4200-001-20,CIRCUIT BREAKER,MS26574-20,5,5,,5925-01-296-4365,,
4310-001-2,CIRCUIT BREAKER,MS3320-2,1,1
4310-001-20,CIRCUIT BREAKER,MS3320-20,1,1
4310-001-3,CIRCUIT BREAKER,MS3320-3,20,20
4310-001-5,CIRCUIT BREAKER,MS3320-5,1,1
4330-007-20,CIRCUIT BREAKER,MS14154-20L,7,7,,HS4816-20,,,,5925-01-193-4301,,
446-K-H-N-200A,CIRCUIT BREAKER,5925-01-575-1682,5,5
447-K-H-FN-225A,CIRCUIT BREAKER,5925-01-317-1824,5,5
447-S-H-FN-225A,CIRCUIT BREAKER,5925-01-522-7425,2,2
483-G411-K1M1-A1S0ZN-10A,CIRCUIT BREAKER,,50,50
483-G411-K1M1-A1S0ZN-2A,CIRCUIT BREAKER,,100,100
483-G411-K1M1-A1S0ZN-3A,CIRCUIT BREAKER,,165,165
483-G411-K1M1-A1S0ZN-5A,CIRCUIT BREAKER,,60,60
483-V533-J3M1-C4S0Z-10A,CIRCUIT BREAKER,5925-01-521-6432,5,5
483-V533-J3M1-C4S0Z-25A,CIRCUIT BREAKER,5925-01-521-6413,3,3,,830-184,,
483-V533-J3M1-C4S0Z-4A,CIRCUIT BREAKER,5925-01-522-6866,2,2
4930-03-75A,CIRCUIT BREAKER,M83383/01-11,3,3,,5925-01-388-2763,,
2/25/52,CIRCUIT BREAKER,S30496-25,1,1
700-001-20,CIRCUIT BREAKER,MP705H,1,1,,507-220-101,,,,MS25244-20,,,,5925-00-682-4015,,,,1515079,,
700-001-35,CIRCUIT BREAKER,MP707H,1,1,,507-235-101,,,,MS25244-35,,,,5925-00-686-3299,,
700-001-50,CIRCUIT BREAKER,MP708H,18,18,,30-072-1,,,,S30184-1,,,,2506822,,
700-013-25,CIRCUIT BREAKER,492-225-102,69,69,,BACC18R25B,,,,C41-3795,,,,5925-00-454-6814,,,,27873-002,,,,093335-000,,
700-089-7 1/2,CIRCUIT BREAKER,MS25244-P-7 1/2,10,10,,5925-01-070-4487,,,,E4036391,,,,700-089-705,,
700-092-10,CIRCUIT BREAKER,MS25244-PT-10,1,1
700-092-7 1/2,CIRCUIT BREAKER,MS25244-PT-7 1/2,1,1,,5925-01-208-0617,,,,S30496-7 1/2,,,,700-092-705,,,,MS25244-PT7-1/2,,
1/25/70,CIRCUIT BREAKER,S30469-3,5,5,,NOT QPL TO MS24509-A-25,,,,IAW MS24509-A-25,,
1/3/70,CIRCUIT BREAKER,NOT QPL TO MS24509-A-3,2,2,,IAW MS24509-A-3,,,,5925-00-087-7506,,,,S30469-1,,
7270-1-35,CIRCUIT BREAKER,NOT QPL TO MS24509-A-35,1,1,,IAW MS24509-A-35,,,,S30469-5,,
8/25/71,CIRCUIT BREAKER,S30468-3,1,1,,NOT QPL TO MS24510-A-25,,,,IAW MS24510-A-25,,
8/30/71,CIRCUIT BREAKER,S30468-4,5,5,,NOT QPL TO MS24510-A-30,,,,IAW MS24510-A-30,,,,5925-01-035-3151,,
11/15/74,CIRCUIT BREAKER,5925-01-125-5495,13,13
7274-11-2 1/2,CIRCUIT BREAKER,MS22073-2 1/2,2,2
2/1/74,CIRCUIT BREAKER,MS26574-1,45,45,,C71-5089,,
2/5/74,CIRCUIT BREAKER,MS26574-5,24,24,,1516648,,
2/1/77,CIRCUIT BREAKER,,50,50
2/2/77,CIRCUIT BREAKER,204706,30,30
2/3/77,CIRCUIT BREAKER,311229,30,30,,5925-00-252-4227,,
7277-2-7 1/2,CIRCUIT BREAKER,,20,20
7855-6-150,CIRCUIT BREAKER,,1,1
AP1-1-72F-102,CIRCUIT BREAKER,,1,1
AP116-1-41-502,CIRCUIT BREAKER,,1,1
AP117-1-42-752,CIRCUIT BREAKER,,2,2
GJ1-B3-U-0100-02H,CIRCUIT BREAKER,2842415-000,4,4
M39019/01-231,CIRCUIT BREAKER,,1,1
M39019/01-321,CIRCUIT BREAKER,,1,1
M39019/02-318,CIRCUIT BREAKER,,1,1
M39019/02-320,CIRCUIT BREAKER,,3,3
R21-42-15.0AB161CHS,CIRCUIT BREAKER,EE000015-007,1,1
R21-42-5.00AB162CH,CIRCUIT BREAKER,,1,1
R21-62-17.5A-B161CH-S,CIRCUIT BREAKER,EE000015-038,1,1
SDLM-50,CIRCUIT BREAKER,1512688,1,1
SM600BA10N12,CIRCUIT BREAKER,5925-01-317-1826,43,43
W23X1A1G-10,CIRCUIT BREAKER,5925-01-306-9601,3,3
R21-42-10.0A-B161CH-S,CIRCUIT BREAKER 10 AMP,EE000015-014,2,2
452-K34-FN2-100A,CIRCUIT BREAKERS,,9,9
580-110-3(W),CIRCUIT CARD ASSY,,7,7
158092-1,CLAMP,,10,10
5121C-181-SB,CLAMP,,5,5
82626-40R,CLAMP,,4,4
KS103-002,CLAMP,,2,2
KS103-004,CLAMP,1863102,14,14
KS103-005,CLAMP,1894987,17,17
KS103-006,CLAMP,1863104,2,2
KS103-009,CLAMP,,34,34
KS532,CLAMP,,10,10
KS591,CLAMP,,9,9
MB9802S100038,CLAMP,,4,4
MS28042-1A,CLAMP,,25,25
MS28042-3A,CLAMP,,4,4
136061,CLAMP BOOT,,11,11
BC1080R-700L5SE,CLAMP HOSE,4730-01-391-9908,12,12
BC1080S-412L5A,CLAMP HOSE,4730-01-228-5253,16,16
S3175-2,CLAMP HOSE,,7,7
MS25281-R14,CLAMP LOOP,150-0708-130,18,18
MS25281-R16,CLAMP LOOP,,2,2
MS25281-R24,CLAMP LOOP,,16,16
MS25281-R4,CLAMP LOOP,,85,85
ST1290,CLAMP LOOP,5340-01-227-3419,13,13
158082,CLAMPBOOT,,45,45
800-558,CLEAR LENS,761-866-26,79,79
800-559,CLEAR LENS,801-559,24,24,,226-03254-111,,
80E503,CLEAR SPACER,,45,45
45263-CLIP,CLIP,45263,15,15
802460,CLIP,,3,3
802465,CLIP,1680-01-151-1504,17,17
802566-3,CLIP,,15,15
811094-11,CLIP,86CL2650,15,15
812491-3,CLIP,,10,10
813324-1,CLIP,,17,17
815172-3,CLIP,,1,1
815215-403,CLIP,,1,1
829479-401,CLIP ASSY,,10,10
EY000300-001,CLIP ELECTRICAL,,5,5
10E515,CLIP INDICATOR,,2,2
803559-401,CLIPSU,,11,11
813324-403,CLOSEOUT,,15,15
OP111-8,COAT HOOK,,33,33
M83446/05-48F,COIL,,8,8
M83446/05-64F,COIL,,17,17
MS14047-3,COIL,,8,8
90EJ3(B),COLOR FILTER,,34,34
90EJ3(G),COLOR FILTER,,22,22
90EJ3(R),COLOR FILTER,,27,27
90EJ3(W),COLOR FILTER,,3,3
90EJ4(A),COLOR FILTER,,13,13
90EJ4(B),COLOR FILTER,,4,4
90EJ4(R),COLOR FILTER,,6,6
90HJ1(A),COLOR FILTER,,58,58
90HJ1(B),COLOR FILTER,,9,9
90HJ1(G),COLOR FILTER,,61,61
90HJ1(Y),COLOR FILTER,,10,10
90HJ2(A),COLOR FILTER,,9,9
90HJ2(B),COLOR FILTER,,149,149
90HJ2(G),COLOR FILTER,,40,40
90HJ2(R),COLOR FILTER,,112,112
90HJ2(Y),COLOR FILTER,,2,2
90HJ3(A),COLOR FILTER,,75,75
90HJ3(B),COLOR FILTER,,73,73
90HJ3(G),COLOR FILTER,,41,41
90HJ3(R),COLOR FILTER,,70,70
90HJ3(W),COLOR FILTER,,73,73
90HJ4(B),COLOR FILTER,,1,1
90KJ2(Y),COLOR FILTER,,6,6
90KJ3(B),COLOR FILTER,,20,20
90KJ4(B),COLOR FILTER,,3,3
90KJ4(W),COLOR FILTER,,3,3
90KJ4(Y),COLOR FILTER,,2,2
800-553(A),COLOR FILTER AMBER,801-553(A),5,5
800-555(A),COLOR FILTER AMBER,801-555(A),23,23
800-557(A),COLOR FILTER AMBER,,113,113
820-553(A),COLOR FILTER AMBER,,4,4
820-555(A),COLOR FILTER AMBER,,2,2
90EJ1(A),COLOR FILTER AMBER,90E532(A),46,46
90EJ2(A),COLOR FILTER AMBER,,90,90
90EJ3(A),COLOR FILTER AMBER,,84,84
800-553(B),COLOR FILTER BLUE,801-553(B),80,80
820-553(B),COLOR FILTER BLUE,,9,9
820-555(B),COLOR FILTER BLUE,,8,8
90EJ1(B),COLOR FILTER BLUE,,89,89
90EJ2(B),COLOR FILTER BLUE,,7,7
800-553(G),COLOR FILTER GREEN,801-553(G),15,15,,M22885/82-07,,
800-557(G),COLOR FILTER GREEN,,26,26
820-553(G),COLOR FILTER GREEN,,3,3
820-555(G),COLOR FILTER GREEN,,5,5
90EJ1(G),COLOR FILTER GREEN,90E532(G),1,1
90EJ2(G),COLOR FILTER GREEN,,41,41
800-553(R),COLOR FILTER RED,801-553(R),31,31
800-555(R),COLOR FILTER RED,801-555(R),19,19,,467954,,,,TSN467954,,
820-553(R),COLOR FILTER RED,,11,11
